"Column Name","Label"
"GEO_ID","Geography"
"NAME","Geographic Area Name"
"H1_001N"," !!Total:"
"H1_001NA","Annotation of  !!Total:"
"H1_002N"," !!Total:!!Occupied"
"H1_002NA","Annotation of  !!Total:!!Occupied"
"H1_003N"," !!Total:!!Vacant"
"H1_003NA","Annotation of  !!Total:!!Vacant"
