fred.date,fred.total_population,fred.median_household_income,fred.median_list_price,fred.median_inventory,fred.median_days_on_market,fred.rental_vacancy_rate,fred.home_ownership_rate,fred.home_value_index,fred.unemployment_rate,fred.building_permits_housing_units,fred.gdp,redfin.period_begin,redfin.period_end,redfin.period_duration,redfin.region_type,redfin.region_type_id,redfin.table_id,redfin.is_seasonally_adjusted,redfin.region,redfin.city,redfin.state,redfin.state_code,redfin.property_type,redfin.property_type_id,redfin.median_sale_price,redfin.median_sale_price_mom,redfin.median_sale_price_yoy,redfin.median_list_price,redfin.median_list_price_mom,redfin.median_list_price_yoy,redfin.median_ppsf,redfin.median_ppsf_mom,redfin.median_ppsf_yoy,redfin.median_list_ppsf,redfin.median_list_ppsf_mom,redfin.median_list_ppsf_yoy,redfin.homes_sold,redfin.homes_sold_mom,redfin.homes_sold_yoy,redfin.pending_sales,redfin.pending_sales_mom,redfin.pending_sales_yoy,redfin.new_listings,redfin.new_listings_mom,redfin.new_listings_yoy,redfin.inventory,redfin.inventory_mom,redfin.inventory_yoy,redfin.months_of_supply,redfin.months_of_supply_mom,redfin.months_of_supply_yoy,redfin.median_dom,redfin.median_dom_mom,redfin.median_dom_yoy,redfin.avg_sale_to_list,redfin.avg_sale_to_list_mom,redfin.avg_sale_to_list_yoy,redfin.sold_above_list,redfin.sold_above_list_mom,redfin.sold_above_list_yoy,redfin.price_drops,redfin.price_drops_mom,redfin.price_drops_yoy,redfin.off_market_in_two_weeks,redfin.off_market_in_two_weeks_mom,redfin.off_market_in_two_weeks_yoy,redfin.parent_metro_region,redfin.parent_metro_region_metro_code,redfin.last_updated
2018-01-01,10391358,57583,274213,42402,116,7.1,65.2,189332,4.2,3924,567836.2,2018-01-01,2018-01-31,30,state,4,18,f,North Carolina,,North Carolina,NC,All Residential,-1,212100,-0.0642209293,0.0532940348,240400,0.0725906614,0.0728367906,113,-0.0229197798,0.0567426302,120,0.0414632487,0.0726085929,7348,-0.2733386076,0.0004084411,3260,-0.1184424013,0.0329531052,10431,0.5671574519,0.0399800598,36250,0.0260692349,-0.0323011212,4.9,1.4,-0.2,84,6,-5,0.9732532381,-0.0032793939,0.000752784,0.2084921067,-0.0164881148,0.0204730461,0.092,0.0198779473,-0.0147805659,0.1970655656,0.0811807174,-0.0012462897,South Region,,2023-01-15 14:45:07
2018-01-01,3943488,58732,179900,16743,85,11.6,69.5,127385,3.7,738,202712.5,2018-01-01,2018-01-31,30,state,4,23,f,Oklahoma,,Oklahoma,OK,All Residential,-1,151100,-0.0412960998,0.0156113492,166900,0.0559343012,0.0360956769,89,-0.0224899783,0.0240022893,96,0.0580178313,0.0411936393,2375,-0.2493678887,0.0795454545,2012,0.1259093453,0.0281042412,3688,0.3880316146,-0.0284510011,12200,-0.0295895641,-0.0295895641,5.1,1.1,-0.6,61,3,-1,0.9665235837,-0.0051221143,-0.0005142563,0.1873684211,-0.0038452326,-0.0099043062,0.1763934426,0.0628076965,0.004742154,0.3849202225,0.0303205428,0.0015697682,South Region,,2023-01-15 14:45:07
2018-01-01,5091702,61980,259900,25745,100,11,72,179246,3.9,2326,233251.4,2018-01-01,2018-01-31,30,state,4,30,f,South Carolina,,South Carolina,SC,All Residential,-1,227100,-0.0335034192,0.0808487314,242900,0.0219657292,0.0409195277,124,-0.01027809,0.0634030306,132,0.0300764595,0.0584055813,3977,-0.2309031135,0.1424877909,2099,-0.171338334,0.1641708264,5878,0.5208279431,-0.018533979,22463,0.0255672739,-0.0357986007,5.6,1.4,-1.1,97,9,-12,0.9717342554,-0.0032286688,0.0020303159,0.1322604979,-0.0019495195,0.0101691448,0.1135645283,0.0307448233,0.0406796075,0.2019086734,0.0607030527,0.0257411887,South Region,,2023-01-15 14:45:07
2018-01-01,6778180,60487,249900,24409,83,8.6,68,176833,3.5,2111,363055.5,2018-01-01,2018-01-31,30,state,4,34,f,Tennessee,,Tennessee,TN,All Residential,-1,216700,-0.0537942957,0.0835600791,242700,0.0472001292,0.063940118,121,-0.007456536,0.1043079013,128,0.0435353509,0.0858810386,4999,-0.2471385542,-0.0136148382,3583,-0.1399423908,0.0443019528,6255,0.3663171691,-0.0453296703,20518,0.0011710745,-0.051804612,4.1,1,-0.2,80,10,-9,0.9759716399,-0.0017658278,0.0046579282,0.174234847,-0.0162772012,-0.0037446321,0.1190661858,0.0219645951,0.0046893662,0.2589127382,0.0419916428,-0.0207698043,South Region,,2023-01-15 14:45:07
2018-01-01,28624564,64506,278900,82070,81,8.9,62.7,197960,4.1,10119,1809396.7,2018-01-01,2018-01-31,30,state,4,36,f,Texas,,Texas,TX,All Residential,-1,227100,-0.0564077674,0.0609194718,252600,0.0606819862,0.0483400567,113,-0.0324807108,0.0524771993,122,0.0344422277,0.0609676405,16059,-0.3236322284,0.0554715741,15323,0.0304640215,0.0440144444,25261,0.4723436498,0.001030315,67017,-0.0011029795,0.018712188,4.2,1.4,-0.1,54,3,2,0.9737364559,-0.0007533591,-0.0006210657,0.1604084937,0.002425088,-0.0142218054,0.2049479983,0.0507395351,0.0148771625,0.3455784702,0.0502249779,-0.0139973918,South Region,,2023-01-15 14:45:07
2018-02-01,4891628,53879,197425,22639,107,13.2,70.3,139149,4,1069,223859.3,2018-02-01,2018-02-28,30,state,4,1,f,Alabama,,Alabama,AL,All Residential,-1,179200,0.025217137,0.088906774,201200,0.0341930006,0.0373395015,93,0.0260439677,0.0634251979,100,-0.0011401093,0.0142572556,3035,0.143126177,0.069415081,1619,0.1655867531,0.2136431784,4554,0.1015965167,-0.0087070091,17294,0.0420583273,-0.0616895448,5.7,-0.6,-0.8,102,-6,-16,0.9650514146,-0.00029962,0.0047380595,0.1835255354,0.0087609403,0.0154494255,0.0437145831,-0.0078038551,-0.0076119863,0.1518316049,0.0287093326,-0.0061124678,South Region,,2023-01-15 14:45:07
2018-02-01,7164228,67201,322000,25424,61,6,65.7,233843,4.8,2198,351879.5,2018-02-01,2018-02-28,30,state,4,5,f,Arizona,,Arizona,AZ,All Residential,-1,251000,0.020643172,0.0945626039,273100,0.0131695145,0.0859112053,144,0.0089662842,0.0866154846,151,0.0070446382,0.0754546257,8605,0.1306004467,0.0618213228,7250,0.0948353972,0.0804769001,11270,-0.0371636053,-0.0117502631,27694,0.0256657161,-0.0922381015,3.2,-0.3,-0.6,53,-5,-7,0.9806393901,0.001607832,0.002278413,0.1451481697,0.0112630035,0.0084255635,0.2043402903,-0.0139108856,-0.0066207691,0.2942633909,0.013620493,-0.0021597958,West Region,,2023-01-15 14:45:07
2018-02-01,3012161,53712,169900,13768,105,9.9,64.7,126838,3.7,533,127535.7,2018-02-01,2018-02-28,30,state,4,7,f,Arkansas,,Arkansas,AR,All Residential,-1,161400,0.0320495401,0.0592991381,169500,-0.0062978146,0.0119150402,92,0.0445721218,0.0602511595,98,0.010466984,0.0230911852,1740,0.0957178841,0.0425404434,1041,0.0195886386,0.0195886386,2517,0.0896103896,-0.0526910049,8992,0.0493639865,-0.0915336432,5.2,-0.2,-0.7,93,1,-3,0.9680010591,0.0025815865,0.0036590962,0.1287356322,0.0298691334,0.0107008808,0.0817393238,-0.0091697671,-0.002621153,0.241556283,0.0324112468,-0.0297886766,South Region,,2023-01-15 14:45:07
2018-02-01,39437463,76055,524950,54892,37,4.4,55.1,525473,4.3,4510,2897200.7,2018-02-01,2018-02-28,30,state,4,9,f,California,,California,CA,All Residential,-1,547700,0.0601548437,0.1170727268,582400,0.052881779,0.0973133119,348,0.0525202246,0.1031115421,356,0.0301571294,0.0846294307,22466,-0.0012891754,0.007624686,23203,0.1396925193,0.0572287784,35649,0.097466367,0.1184350882,65314,0.0877870859,-0.0327720764,2.9,0.2,-0.1,38,-5,-10,1.003179053,0.0065208811,0.0099763322,0.376969643,0.0432954932,0.0557012541,0.1684784273,-0.0132246855,0.0082462239,0.4726860188,0.0657393155,0.024385362,West Region,,2023-01-15 14:45:07
2018-02-01,21254926,58959,323900,136675,79,8.2,65.5,227289,3.9,6650,1057255.4,2018-02-01,2018-02-28,30,state,4,19,f,Florida,,Florida,FL,All Residential,-1,236900,0.0108504972,0.0899857453,268600,0.000972344,0.0624393915,150,0.0047781582,0.0846520726,162,-0.0053881316,0.0580606091,27210,0.1144331586,0.0345220896,23544,0.0515408665,0.0349920872,43839,-0.0590672018,0.0431151403,137582,0.0332469678,-0.0283413962,5.1,-0.4,-0.3,64,2,-5,0.9634665623,0.0005977512,0.000956153,0.1065784638,0.0019749251,-0.0059224867,0.2024756145,0.0039626034,-0.0075106138,0.3419039985,0.0203849202,0.0087668562,South Region,,2023-01-15 14:45:07
