"GEO_ID","NAME","B25004_001E","B25004_001M","B25004_001MA","B25004_001EA","B25004_002E","B25004_002M","B25004_002MA","B25004_002EA","B25004_003E","B25004_003M","B25004_003MA","B25004_003EA","B25004_004E","B25004_004M","B25004_004MA","B25004_004EA","B25004_005E","B25004_005M","B25004_005MA","B25004_005EA","B25004_006E","B25004_006M","B25004_006MA","B25004_006EA","B25004_007E","B25004_007M","B25004_007MA","B25004_007EA","B25004_008E","B25004_008M","B25004_008MA","B25004_008EA",
"Geography","Geographic Area Name","Estimate!!Total:","Margin of Error!!Total:","Annotation of Margin of Error!!Total:","Annotation of Estimate!!Total:","Estimate!!Total:!!For rent","Margin of Error!!Total:!!For rent","Annotation of Margin of Error!!Total:!!For rent","Annotation of Estimate!!Total:!!For rent","Estimate!!Total:!!Rented, not occupied","Margin of Error!!Total:!!Rented, not occupied","Annotation of Margin of Error!!Total:!!Rented, not occupied","Annotation of Estimate!!Total:!!Rented, not occupied","Estimate!!Total:!!For sale only","Margin of Error!!Total:!!For sale only","Annotation of Margin of Error!!Total:!!For sale only","Annotation of Estimate!!Total:!!For sale only","Estimate!!Total:!!Sold, not occupied","Margin of Error!!Total:!!Sold, not occupied","Annotation of Margin of Error!!Total:!!Sold, not occupied","Annotation of Estimate!!Total:!!Sold, not occupied","Estimate!!Total:!!For seasonal, recreational, or occasional use","Margin of Error!!Total:!!For seasonal, recreational, or occasional use","Annotation of Margin of Error!!Total:!!For seasonal, recreational, or occasional use","Annotation of Estimate!!Total:!!For seasonal, recreational, or occasional use","Estimate!!Total:!!For migrant workers","Margin of Error!!Total:!!For migrant workers","Annotation of Margin of Error!!Total:!!For migrant workers","Annotation of Estimate!!Total:!!For migrant workers","Estimate!!Total:!!Other vacant","Margin of Error!!Total:!!Other vacant","Annotation of Margin of Error!!Total:!!Other vacant","Annotation of Estimate!!Total:!!Other vacant",
"0100000US","United States","16078532","201880","null","null","2704553","44050","null","null","560634","11956","null","null","1129755","24801","null","null","617496","15190","null","null","5303302","38826","null","null","35851","1510","null","null","5726941","78691","null","null",
