street,city,zip_code,state,property_type,bedrooms,bathrooms,year,land_value,building_value,last_sold_date,last_sale_price
3301N 12TH ST,TAMPA,33605,FL,SINGLE FAMILY,3,2,1925,50715,191759,9/27/21,275000
3219N 12TH ST,TAMPA,33605,FL,SINGLE FAMILY,2,1,1949,51818,80577,11/18/21,173000
1206E 25TH AVE,TAMPA,33605,FL,SINGLE FAMILY,3,2,2021,79551,227301,10/5/21,272500
1218E 25TH AVE,TAMPA,33605,FL,SINGLE FAMILY,4,2,1920,73080,214140,7/27/20,254500
1220E 25TH AVE,TAMPA,33605,FL,SINGLE FAMILY,4,2,1926,79551,109612,9/30/21,215000
1214E 24TH AVE,TAMPA,33605,FL,SINGLE FAMILY,2,1,1953,49631,85783,5/21/21,192500
1225E 24TH AVE,TAMPA,33605,FL,SINGLE FAMILY,3,1,1964,49631,148483,4/30/21,219900
1205E 24TH AVE,TAMPA,33605,FL,SINGLE FAMILY,2,1,1969,49631,83025,4/4/22,225000
1101E 26TH AVE,TAMPA,33605,FL,SINGLE FAMILY,3,2,2021,64024,262514,5/14/21,281300
1008E 25TH AVE,TAMPA,33605,FL,SINGLE FAMILY,3,2,1925,38984,215077,8/10/20,200000
1020E 25TH AVE,TAMPA,33605,FL,SINGLE FAMILY,3,3,1948,118902,173080,3/29/21,300000
1015E 25TH AVE,TAMPA,33605,FL,SINGLE FAMILY,3,2,2021,66477,219248,9/14/21,370000
1013E 25TH AVE,TAMPA,33605,FL,SINGLE FAMILY,3,2,1980,66477,148870,3/19/21,250000
1005E 25TH AVE,TAMPA,33605,FL,SINGLE FAMILY,3,2,1950,66477,232656,12/8/21,335000
1001E 25TH AVE,TAMPA,33605,FL,SINGLE FAMILY,3,3,1926,69747,261622,11/12/21,400000
1003 24TH AVE,TAMPA,33605,FL,SINGLE FAMILY,6,3.5,1928,68565,407604,11/23/21,425000
905 24TH AVE,TAMPA,33605,FL,SINGLE FAMILY,4,2,1910,64410,213457,11/20/20,257000
