street,city,zip_code,state,property_type,bedrooms,bathrooms,year,land_value,building_value,last_sold_date,last_sale_price
2427 MALLORY AVE,TAMPA,33605,FL,SINGLE FAMILY,3,2,2020,47722,230655,10/22/20,255000
2425 MALLORY AVE,TAMPA,33605,FL,SINGLE FAMILY,3,2,2020,47722,226085,10/5/20,250000
2417 MALLORY AVE,TAMPA,33605,FL,SINGLE FAMILY,3,1,1923,68749,162386,12/30/20,185000
2420E 20TH AVE,TAMPA,33605,FL,SINGLE FAMILY,4,1,1940,47722,163169,1/13/21,208500
2420E 19TH AVE,TAMPA,33605,FL,SINGLE FAMILY,5,2,1965,88830,335696,10/5/20,352500
2215E 19TH AVE,TAMPA,33605,FL,SINGLE FAMILY,3,2,2021,47722,249486,8/31/21,320000
2214 18TH AVE,TAMPA,33605,FL,SINGLE FAMILY,3,2,2005,36713,148655,6/13/22,345000
2218 18TH AVE,TAMPA,33605,FL,SINGLE FAMILY,3,2.5,2021,37706,256919,6/30/21,270200
2220 18TH AVE,TAMPA,33605,FL,SINGLE FAMILY,3,2.5,2020,47722,266878,2/1/21,290000
2422E 18TH AVE,TAMPA,33605,FL,SINGLE FAMILY,2,1,1946,47722,86971,5/11/22,100
2227E 18TH AVE,TAMPA,33605,FL,SINGLE FAMILY,2,1,1900,35831,58465,4/4/22,170000
2225E 18TH AVE,TAMPA,33605,FL,SINGLE FAMILY,3,2.5,2007,30119,188297,12/21/21,285000
2215E 18TH AVE,TAMPA,33605,FL,SINGLE FAMILY,3,2.5,2021,47722,253332,8/25/21,309500
2213 18TH AVE,TAMPA,33605,FL,SINGLE FAMILY,2,1,1977,47722,57926,5/13/22,150000
2220E 17TH AVE,TAMPA,33605,FL,SINGLE FAMILY,3,2,1926,47722,141187,9/18/20,174000
2510E 17TH AVE,TAMPA,33605,FL,SINGLE FAMILY,3,2,2021,50830,243526,9/10/21,320000
2603E 18TH AVE,TAMPA,33605,FL,SINGLE FAMILY,3,2,2021,50830,226562,8/6/21,288000
2601E 18 AVE,TAMPA,33605,FL,SINGLE FAMILY,3,2,2021,50246,223427,7/27/21,100
2701E 18TH AVE,TAMPA,33605,FL,SINGLE FAMILY,3,2,2020,50246,196422,3/31/21,235900
2702E 18TH AVE,TAMPA,33605,FL,DUPLEX/TRIPLEX/QUADPLX/ETC,3,2,1946,50246,137875,2/4/21,272000
2708E 18TH AVE,TAMPA,33605,FL,SINGLE FAMILY,3,1,1925,50830,79871,8/13/21,133000
2602E 18 TH AVE,TAMPA,33605,FL,SINGLE FAMILY,3,2,2020,50246,187314,11/12/20,233900
2604E 18TH AVE,TAMPA,33605,FL,SINGLE FAMILY,3,2,1928,50246,191487,12/22/21,275000
2502 18TH AVE,TAMPA,33605,FL,SINGLE FAMILY,3,2,2021,50246,253332,5/17/21,100
2504E 18TH AVE,TAMPA,33605,FL,SINGLE FAMILY,3,2,2021,50830,253332,5/7/21,300000
2611 21ST AVE,TAMPA,33605,FL,SINGLE FAMILY,2,1,1974,50246,83772,3/25/22,181000
2511 21ST AVE,TAMPA,33605,FL,SINGLE FAMILY,4,1,1918,66090,90950,9/13/21,170000
2503 21ST AVE,TAMPA,33605,FL,SINGLE FAMILY,5,2.5,1998,94328,316813,4/8/21,335000
2812N 27TH ST,TAMPA,33605,FL,SINGLE FAMILY,3,1,1915,93539,135380,3/30/22,308000
2505E 19TH AVE,TAMPA,33605,FL,SINGLE FAMILY,3,2,1957,94545,245889,11/22/21,375000
2614 20TH AVE,TAMPA,33605,FL,SINGLE FAMILY,3,2,1923,38242,53371,1/6/21,121500
3304E 28TH AVE,TAMPA,33605,FL,SINGLE FAMILY,4,2,1955,79050,174575,4/8/22,100
3305E 28TH AVE,TAMPA,33605,FL,SINGLE FAMILY,3,1,1927,39015,138391,8/31/21,205000
3407 SAND DUNE LN,TAMPA,33605,FL,SINGLE FAMILY,3,2,1995,42335,134950,3/12/21,177000
2620 DURHAM ST,TAMPA,33605,FL,DUPLEX/TRIPLEX/QUADPLX/ETC,2,1,1949,87182,100799,4/18/22,100
2419E DURHAM ST,TAMPA,33605,FL,SINGLE FAMILY,3,2,2006,71072,234943,7/17/20,215000
2406 MARCONI ST,TAMPA,33605,FL,SINGLE FAMILY,2,1,1945,49875,85702,3/16/22,300000
2219E MARCONI ST,TAMPA,33605,FL,SINGLE FAMILY,2,1,1946,91770,67181,9/3/21,180000
2404 CORRINE ST,TAMPA,33605,FL,SINGLE FAMILY,2,1,1924,35960,134529,10/12/21,230000
2206 CORRINE ST,TAMPA,33605,FL,SINGLE FAMILY,3,2,2005,49875,194305,11/19/21,288000
2207 CORRINE ST,TAMPA,33605,FL,SINGLE FAMILY,2,1,1931,49875,127417,1/8/21,185000
2210 HARPER ST,TAMPA,33605,FL,SINGLE FAMILY,4,2,1979,49875,195799,10/1/21,260000
2407 HARPER ST,TAMPA,33605,FL,SINGLE FAMILY,4,2,1900,49875,41537,1/27/22,135000
2430 STUART ST,TAMPA,33605,FL,SINGLE FAMILY,2,1,1921,110214,77962,1/4/21,230000
2217 STUART ST,TAMPA,33605,FL,SINGLE FAMILY,2,1,1910,49875,91043,7/7/21,214500
2424E LINSEY ST,TAMPA,33605,FL,SINGLE FAMILY,3,3.5,1953,49875,223954,7/24/20,210000
2415E LINSEY ST,TAMPA,33605,FL,SINGLE FAMILY,2,2,1947,97461,40656,10/13/21,153000
2219 THRACE ST,TAMPA,33605,FL,SINGLE FAMILY,2,1,1942,49875,103258,3/24/22,227000
2217 THRACE ST,TAMPA,33605,FL,SINGLE FAMILY,1,1,1942,49875,76986,6/16/22,255000
2215 THRACE ST,TAMPA,33605,FL,SINGLE FAMILY,3,3,1942,49875,144779,4/8/21,225000
2208E GORDON ST,TAMPA,33605,FL,SINGLE FAMILY,4,2,1973,49875,195418,8/2/21,283500
2413 THRACE ST,TAMPA,33605,FL,DUPLEX/TRIPLEX/QUADPLX/ETC,1,1,1956,49875,226373,9/4/20,365000
2405E THRACE ST,TAMPA,33605,FL,SINGLE FAMILY,2,1,1951,81635,79556,9/15/21,175000
2403 GORDON ST,TAMPA,33605,FL,SINGLE FAMILY,4,1.5,1939,91770,114807,8/14/20,159000
2401E GORDON ST,TAMPA,33605,FL,DUPLEX/TRIPLEX/QUADPLX/ETC,2,1,1986,49875,174452,1/26/22,325000
702S 24TH ST,TAMPA,33605,FL,SINGLE FAMILY,3,1,1953,113178,195758,4/21/21,300000
2213 GRANT ST,TAMPA,33605,FL,SINGLE FAMILY,1,1,1942,62892,41502,4/4/22,140000
2209E CHAPIN ST,TAMPA,33605,FL,DUPLEX/TRIPLEX/QUADPLX/ETC,2,1,1984,49875,171000,1/10/22,290000
